Name,Symbol,Sector,Current Price,1 Day %Change,5 Day %Change,1 Month %Change,6 Month %Change,1 Year %Change,5 Year %Change
Abbott Laboratories,ABT,Health Care,109.24,-1.9742,-7.6038,-0.3557,-18.1693,0.5967,148.8515
AbbVie,ABBV,Health Care,142.31,-1.6062,-3.7275,-7.9078,15.0772,26.851,155.8926
Accenture,ACN,Information Technology,286.65,-1.5693,-8.2191,-1.9665,-24.131,1.8302,144.3505
Adobe,ADBE,Information Technology,395.96,-4.3482,-10.0091,-1.215,-39.5453,-26.1833,185.603
Advanced Micro Devices,AMD,Information Technology,96.44,-3.4905,-11.9832,6.2466,-31.7818,18.0272,680.8907
Alphabet (Class A),GOOGL,Communication Services,2212.15,-2.3583,-7.3228,-4.8538,-25.7556,-9.1892,128.5279
Alphabet (Class C),GOOG,Communication Services,2221.03,-2.1547,-6.9909,-4.8329,-25.6683,-11.9778,133.9515
Amazon,AMZN,Consumer Discretionary,110.58,-3.4236,-14.2724,-1.831,-37.1444,-34.0018,126.61
Apple,AAPL,Information Technology,137.83,-2.0816,-7.2289,-12.0646,-23.0594,8.1344,298.6451
Bank of America,BAC,Financials,33.38,-1.9389,-10.2929,-9.5819,-24.7459,-20.6878,54.4129
Boeing,BA,Industrials,128.71,-2.6363,-8.8069,-6.6236,-38.4163,-49.5532,-28.3081
Bristol Myers Squibb, BMY,Health Care,541.37,-1.7554,-5.4739,-8.4209,-14.9256,18.5974,166.3643
Broadcom,AVGO,Information Technology,176.41,-1.2096,-0.8933,8.3265,50.7791,67.1266,103.1024
Chevron Corporation,CVX,Energy,43.35,-1.2529,-5.9449,-13.7142,-26.0127,-19.1924,59.3575
Cisco Systems,CSCO,Information Technology,61.16,-0.1062,-4.0928,-6.3686,9.425,12.342,58.0936
Coca-Cola Company,KO,Consumer Staples,41.74,-0.619,-3.6695,1.6809,-13.0418,-25.3996,11.1022
Comcast,CMCSA,Communication Services,459.84,-1.7436,-4.3992,-9.9465,-17.8139,20.7478,173.0602
Costco,COST,Consumer Staples,251.5,-1.3957,-6.7448,2.515,-22.0368,2.2309,203.3345
Danaher Corporation,DHR,Health Care,298.65,-0.9978,-5.2296,2.1219,23.0252,28.4117,306.9309
Eli Lilly & Co,LLY,Health Care,101.94,-1.3643,2.1648,18.5225,64.366,67.4312,58.6036
ExxonMobil,XOM,Energy,178.34,-2.5464,-9.4353,-12.1305,-46.7689,-46.5952,19.5308
Facebook,META,Communication Services,39.49,-1.4721,-10.3315,-11.7345,-21.4698,-29.9557,24.7019
Intel,INTC,Information Technology,171.59,-0.4121,-3.8711,-3.6206,4.2661,5.012,48.456
Johnson & Johnson,JNJ,Health Care,120.89,-2.0337,-8.6865,-2.3348,-24.2325,-24.9791,58.2567
JPMorgan Chase,JPM,Financials,308.61,-1.4215,-8.6926,1.0089,-7.1238,6.8142,146.4886
Linde,LIN,Materials,336.5,-2.2683,-8.6367,0.8451,-3.6662,-7.4955,183.2448
Mastercard,MA,Information Technology,237.94,-0.7094,-4.6447,-4.6322,-9.3038,3.5546,76.9393
McDonald's,MCD,Consumer Discretionary,87.09,-0.3889,-3.9378,-2.4639,21.1228,18.0364,64.9098
Merck & Co.,MRK,Health Care,254.95,-2.1455,-7.0136,-6.6507,-25.3434,-0.1663,289.1796
Microsoft,MSFT,Information Technology,114.76,-1.9899,-6.0422,1.4142,-32.2681,-12.7218,122.4394
Nike,NKE,Consumer Discretionary,171.52,-3.0796,-11.2808,-5.728,-45.1891,-1.877,357.3376
Nvidia,NVDA,Information Technology,162.04,-0.0247,-3.329,-6.516,-2.8854,12.4812,60.9176
PepsiCo,PEP,Consumer Staples,50.44,-1.8104,-6.1057,1.9065,-3.0502,28.0842,93.2154
Pfizer,PFE,Health Care,100.79,-0.2079,-6.4333,0.2088,14.3255,8.7042,9.5288
Philip Morris International,PM,Consumer Staples,140.66,-0.4177,-4.7277,-10.1903,-8.7209,5.6065,82.1042
Procter & Gamble,PG,Consumer Staples,134.03,-1.492,-7.5464,-3.6226,-27.0829,0.993,169.291
Qualcomm,QCOM,Information Technology,94.71,-1.4054,-2.8516,1.5085,10.1466,7.7417,40.7924
Raytheon Technologies,RTX,Industrials,178.37,-3.0334,-6.3281,4.1516,-34.0762,-25.7689,105.4007
Salesforce,CRM,Information Technology,698.0,-2.8532,-4.9823,-15.4308,-31.6343,13.2033,857.476
Tesla,TSLA,Consumer Discretionary,158.16,-1.4149,-9.2391,-7.4221,-18.3694,-14.1469,121.7929
Texas Instruments,TXN,Information Technology,100.32,-1.753,-8.9573,-9.3767,-35.1351,-43.5167,-2.2764
The Walt Disney Company,DIS,Communication Services,524.51,-1.09,-6.7372,-1.4579,-18.5745,12.8523,203.3162
Thermo Fisher Scientific,TMO,Health Care,210.94,-1.9613,-6.808,-7.0295,-14.1995,-3.5336,112.5973
Union Pacific,UNP,Industrials,482.7,-0.6933,-2.2142,-2.7501,1.1805,21.4341,186.0692
UnitedHealth Group,UNH,Health Care,50.67,-0.7832,-1.3242,2.4879,3.1291,-7.8088,33.4566
Verizon Communications,VZ,Communication Services,199.74,-1.8042,-8.1993,1.1992,-6.4424,-14.1664,119.3518
Visa,V,Information Technology,120.64,-0.0745,-4.4814,-20.7827,-13.9796,-12.6291,65.0414
Walmart,WMT,Consumer Staples,40.56,-2.1235,-11.6147,-9.282,-19.0418,-11.4641,-14.086
